policy_id,event_type,event_date,channel_override
281,claim,2023-08-29,In-Person
493,endorsement,2022-02-28,In-Person
589,contact_attempt,2022-09-19,Phone
640,contact_attempt,2023-08-07,Phone
615,contact_attempt,2021-10-08,Online
367,claim,2022-12-27,Online
524,renewal_offer,2021-12-10,Phone
910,contact_attempt,2022-07-31,Online
257,claim,2022-05-19,In-Person
64,claim,2021-11-29,Phone
528,claim,2021-02-12,In-Person
575,contact_attempt,2022-06-02,Phone
625,claim,2021-09-23,Online
873,contact_attempt,2022-12-15,Online
508,renewal_offer,2022-12-07,In-Person
602,claim,2022-06-12,Online
418,contact_attempt,2023-08-10,In-Person
362,renewal_offer,2023-07-24,Phone
347,endorsement,2022-05-13,Online
108,claim,2021-11-22,Online
396,endorsement,2022-01-29,Online
350,contact_attempt,2023-06-15,In-Person
312,claim,2022-10-13,Online
203,endorsement,2022-08-18,Phone
278,claim,2021-07-05,Online
345,claim,2022-01-27,Phone
462,renewal_offer,2022-11-11,In-Person
546,endorsement,2022-02-06,Online
237,endorsement,2022-03-18,Online
522,claim,2021-04-08,In-Person
430,renewal_offer,2022-01-30,Online
676,contact_attempt,2021-12-20,Phone
355,claim,2021-02-03,Phone
294,renewal_offer,2023-02-26,Online
216,contact_attempt,2021-08-27,In-Person
107,endorsement,2021-03-26,Online
364,contact_attempt,2021-07-27,Phone
958,renewal_offer,2023-03-08,In-Person
630,endorsement,2022-07-20,Online
108,contact_attempt,2023-06-30,In-Person
707,endorsement,2021-08-10,Online
295,endorsement,2021-01-31,In-Person
748,endorsement,2023-09-18,In-Person
687,claim,2023-08-15,Phone
386,claim,2022-07-26,Online
235,endorsement,2023-06-28,Phone
350,endorsement,2021-06-14,In-Person
571,contact_attempt,2023-04-05,In-Person
224,contact_attempt,2021-08-08,Online
581,claim,2023-06-18,Online
431,contact_attempt,2023-09-24,In-Person
602,renewal_offer,2021-06-06,Online
120,contact_attempt,2023-04-18,Online
622,contact_attempt,2023-09-05,Online
810,contact_attempt,2023-07-11,Phone
377,claim,2021-04-24,Phone
776,claim,2022-12-02,Online
493,contact_attempt,2021-07-09,In-Person
68,endorsement,2021-04-26,Online
123,claim,2023-07-12,In-Person
168,contact_attempt,2022-12-20,In-Person
392,claim,2022-07-02,Phone
789,claim,2021-01-19,In-Person
857,renewal_offer,2021-01-13,In-Person
921,renewal_offer,2021-09-01,In-Person
290,contact_attempt,2021-07-26,Phone
435,contact_attempt,2021-02-15,In-Person
721,contact_attempt,2023-01-06,Online
636,endorsement,2023-07-30,Phone
842,contact_attempt,2023-06-03,Online
29,claim,2023-03-29,Phone
847,claim,2023-03-25,Phone
415,claim,2021-08-31,In-Person
430,contact_attempt,2021-01-30,Phone
715,endorsement,2021-06-24,Online
994,renewal_offer,2021-09-05,In-Person
925,renewal_offer,2021-02-20,Online
960,contact_attempt,2021-10-05,In-Person
574,renewal_offer,2022-09-04,Online
967,renewal_offer,2022-09-17,In-Person
169,renewal_offer,2022-03-11,Phone
455,contact_attempt,2021-04-25,Phone
489,endorsement,2022-08-07,Phone
470,claim,2022-04-05,Phone
370,renewal_offer,2023-06-12,Phone
409,endorsement,2022-08-20,In-Person
50,claim,2022-10-02,Online
952,contact_attempt,2023-03-09,Online
16,endorsement,2021-01-26,Phone
140,endorsement,2023-03-27,Phone
303,contact_attempt,2022-05-12,Phone
537,claim,2022-05-15,Online
595,contact_attempt,2023-03-11,Phone
217,contact_attempt,2023-01-24,Online
344,renewal_offer,2023-03-13,In-Person
611,contact_attempt,2022-07-21,Online
518,renewal_offer,2023-09-17,Phone
335,contact_attempt,2022-10-12,In-Person
32,renewal_offer,2022-09-24,Online
112,renewal_offer,2022-05-17,Phone
954,endorsement,2021-11-14,Phone
296,renewal_offer,2022-11-03,Online
384,endorsement,2021-02-26,Online
499,claim,2021-06-19,Phone
889,claim,2023-07-16,In-Person
743,claim,2021-11-20,In-Person
439,contact_attempt,2022-09-23,Phone
245,renewal_offer,2022-01-19,In-Person
594,renewal_offer,2023-05-10,Phone
831,claim,2023-06-11,In-Person
355,endorsement,2023-07-22,Online
425,claim,2023-05-08,In-Person
385,contact_attempt,2023-01-20,Phone
788,contact_attempt,2021-08-19,Phone
615,claim,2021-06-02,Online
668,contact_attempt,2022-08-01,Online
605,contact_attempt,2022-11-22,Online
134,contact_attempt,2022-08-23,Online
922,claim,2022-09-15,In-Person
708,claim,2021-07-13,Online
263,claim,2023-06-27,Online
533,renewal_offer,2021-02-02,Online
523,endorsement,2021-08-13,Online
770,claim,2022-04-27,Phone
40,claim,2021-04-18,In-Person
378,claim,2021-12-30,Online
534,endorsement,2022-12-25,Phone
718,renewal_offer,2022-03-27,In-Person
678,contact_attempt,2021-09-18,In-Person
268,claim,2022-01-21,Online
695,endorsement,2022-12-14,Online
282,claim,2023-08-18,In-Person
758,claim,2022-01-03,Phone
581,claim,2021-09-07,Online
746,renewal_offer,2022-04-08,Online
129,contact_attempt,2021-03-12,In-Person
735,endorsement,2022-04-11,Online
245,contact_attempt,2023-04-17,Phone
358,renewal_offer,2021-04-13,Online
733,renewal_offer,2021-11-18,In-Person
10,renewal_offer,2022-10-19,Online
128,renewal_offer,2023-01-01,In-Person
210,renewal_offer,2022-04-13,Online
703,renewal_offer,2023-04-24,Online
784,claim,2021-05-15,Phone
310,renewal_offer,2022-10-11,In-Person
308,claim,2022-01-04,In-Person
886,contact_attempt,2023-07-28,Online
424,contact_attempt,2023-01-04,Online
593,contact_attempt,2023-07-01,Online
236,claim,2023-03-30,In-Person
281,endorsement,2022-01-12,Online
763,endorsement,2023-02-13,Online
679,endorsement,2021-09-09,Phone
999,endorsement,2023-06-20,In-Person
684,contact_attempt,2021-12-09,Online
18,renewal_offer,2021-02-11,In-Person
301,claim,2021-07-24,Online
438,contact_attempt,2021-04-28,In-Person
533,contact_attempt,2021-06-04,In-Person
10,renewal_offer,2021-11-04,Online
416,endorsement,2023-02-03,In-Person
136,contact_attempt,2023-03-14,In-Person
91,claim,2021-08-25,Phone
56,renewal_offer,2022-10-15,In-Person
343,contact_attempt,2022-04-03,Phone
481,contact_attempt,2023-04-28,Online
773,renewal_offer,2021-03-10,Online
531,renewal_offer,2021-11-23,Online
340,renewal_offer,2022-03-01,In-Person
558,endorsement,2021-04-06,In-Person
651,renewal_offer,2022-11-14,In-Person
608,endorsement,2023-02-02,Online
135,endorsement,2022-07-24,Phone
492,renewal_offer,2021-04-05,Phone
116,endorsement,2022-11-18,Phone
362,endorsement,2021-08-09,Online
775,endorsement,2021-02-05,Phone
742,contact_attempt,2022-01-15,Phone
364,claim,2022-06-14,Phone
358,renewal_offer,2021-01-02,Online
432,claim,2022-12-23,In-Person
730,contact_attempt,2022-05-28,Phone
915,claim,2021-09-25,Phone
272,claim,2022-02-20,In-Person
754,claim,2022-11-01,In-Person
221,endorsement,2023-06-16,Online
240,contact_attempt,2021-10-30,In-Person
774,renewal_offer,2021-09-26,Online
648,renewal_offer,2022-11-13,Phone
397,renewal_offer,2023-01-07,Phone
188,endorsement,2022-07-11,Online
997,claim,2023-05-05,Online
689,contact_attempt,2023-09-07,Phone
276,contact_attempt,2023-08-26,In-Person
104,contact_attempt,2023-07-03,Phone
929,endorsement,2022-03-21,Online
310,endorsement,2021-07-21,Phone
581,contact_attempt,2021-03-17,In-Person
510,claim,2021-07-03,In-Person
691,claim,2022-10-16,Online
555,renewal_offer,2021-03-06,In-Person
318,endorsement,2021-09-27,Phone
310,contact_attempt,2023-04-19,Online
968,endorsement,2021-02-19,In-Person
693,contact_attempt,2022-08-22,Online
643,claim,2021-05-03,In-Person
747,endorsement,2022-11-12,Online
792,renewal_offer,2023-04-23,In-Person
614,renewal_offer,2021-11-10,Online
141,renewal_offer,2023-03-06,Online
109,endorsement,2022-06-18,In-Person
289,renewal_offer,2021-08-29,Online
618,endorsement,2023-02-01,In-Person
353,endorsement,2021-09-20,Online
964,renewal_offer,2021-09-19,In-Person
22,renewal_offer,2021-05-28,Online
668,claim,2021-03-13,In-Person
347,claim,2023-01-31,In-Person
830,contact_attempt,2021-03-15,Phone
772,claim,2021-05-04,Phone
758,endorsement,2021-06-03,Online
119,contact_attempt,2021-10-22,Online
299,endorsement,2021-08-12,Phone
486,renewal_offer,2023-04-21,In-Person
463,claim,2021-12-28,Online
477,endorsement,2021-06-18,In-Person
470,renewal_offer,2022-12-17,In-Person
822,endorsement,2022-11-27,Online
354,claim,2023-01-13,Online
919,endorsement,2022-05-07,In-Person
557,claim,2023-09-27,In-Person
917,endorsement,2021-03-11,Online
904,contact_attempt,2023-03-01,Online
285,claim,2021-02-16,In-Person
203,renewal_offer,2022-01-07,In-Person
715,claim,2022-02-07,In-Person
82,endorsement,2022-07-25,Online
13,endorsement,2022-03-10,In-Person
482,renewal_offer,2022-12-12,Online
927,contact_attempt,2022-09-11,Phone
559,claim,2021-01-12,In-Person
982,claim,2021-02-01,In-Person
243,endorsement,2023-06-08,Online
719,claim,2023-09-26,Online
807,claim,2022-09-22,Phone
834,contact_attempt,2022-11-26,Online
446,claim,2021-09-08,Phone
887,claim,2022-02-27,In-Person
452,renewal_offer,2022-09-08,In-Person
295,contact_attempt,2023-02-20,Online
32,endorsement,2022-12-11,Online
860,claim,2021-09-04,Phone
956,endorsement,2023-09-16,Online
151,claim,2022-09-02,In-Person
657,endorsement,2023-03-21,In-Person
117,contact_attempt,2022-08-15,Online
246,claim,2022-06-19,In-Person
298,endorsement,2023-04-13,In-Person
719,endorsement,2023-02-15,In-Person
370,endorsement,2022-10-14,In-Person
354,contact_attempt,2022-02-10,Online
548,renewal_offer,2023-04-08,Online
973,contact_attempt,2023-01-08,Online
633,contact_attempt,2023-06-24,Phone
161,claim,2023-08-12,In-Person
838,contact_attempt,2021-04-02,Online
422,endorsement,2021-01-03,In-Person
658,renewal_offer,2021-07-25,In-Person
969,contact_attempt,2023-04-25,Online
127,renewal_offer,2022-07-18,Online
694,claim,2021-02-27,Online
84,renewal_offer,2021-12-11,Online
826,contact_attempt,2021-08-22,Phone
382,endorsement,2023-06-07,Online
521,contact_attempt,2021-05-19,Phone
654,renewal_offer,2021-07-30,Phone
310,renewal_offer,2021-05-17,In-Person
521,contact_attempt,2023-03-12,Phone
355,contact_attempt,2022-02-25,In-Person
686,contact_attempt,2022-06-08,Phone
454,contact_attempt,2022-07-03,Online
402,renewal_offer,2022-05-06,In-Person
512,contact_attempt,2022-04-07,In-Person
915,endorsement,2023-09-04,Online
66,renewal_offer,2023-04-12,In-Person
263,claim,2023-08-16,Phone
219,endorsement,2022-10-30,In-Person
377,contact_attempt,2023-05-23,In-Person
268,endorsement,2021-10-13,In-Person
763,renewal_offer,2021-11-05,Phone
170,contact_attempt,2023-06-29,Phone
253,endorsement,2022-12-13,Online
717,endorsement,2022-09-26,Phone
995,contact_attempt,2023-05-07,Phone
393,contact_attempt,2023-04-15,Online
94,contact_attempt,2022-04-20,In-Person
254,endorsement,2022-10-26,Phone
91,endorsement,2021-04-19,In-Person
319,renewal_offer,2023-07-02,Online
788,claim,2021-08-16,Phone
264,renewal_offer,2023-02-27,In-Person
189,renewal_offer,2022-06-15,Online
722,endorsement,2021-12-18,Phone
592,contact_attempt,2021-07-16,Phone
327,contact_attempt,2022-06-28,Phone
354,claim,2023-03-15,Phone
291,claim,2023-09-02,Online
553,endorsement,2022-07-07,Phone
770,endorsement,2022-12-30,In-Person
79,renewal_offer,2022-06-22,Phone
665,claim,2022-05-11,Phone
100,claim,2022-10-20,In-Person
454,endorsement,2021-07-31,Phone
988,renewal_offer,2022-05-18,Online
576,endorsement,2021-08-21,Phone
542,renewal_offer,2022-05-05,Online
750,renewal_offer,2023-04-29,Online
321,claim,2022-05-22,Phone
584,contact_attempt,2022-12-29,Phone
443,contact_attempt,2021-03-19,Phone
304,claim,2021-12-02,Online
67,renewal_offer,2022-08-03,In-Person
555,contact_attempt,2022-03-25,Online
85,claim,2022-01-23,Phone
351,endorsement,2022-12-24,Phone
260,claim,2023-09-19,In-Person
999,endorsement,2022-05-23,Online
80,endorsement,2021-02-13,Phone
84,endorsement,2022-04-14,Online
590,renewal_offer,2021-10-28,In-Person
930,contact_attempt,2022-10-21,In-Person
745,endorsement,2023-04-02,Online
29,contact_attempt,2022-02-24,Online
958,endorsement,2022-03-30,In-Person
663,claim,2023-06-19,Online
453,renewal_offer,2023-02-05,Online
983,claim,2022-08-02,Online
642,endorsement,2023-09-20,In-Person
433,claim,2022-09-25,Phone
239,claim,2022-10-22,Phone
419,renewal_offer,2021-11-28,Online
706,claim,2021-08-28,In-Person
851,endorsement,2023-04-09,Online
995,renewal_offer,2021-10-27,Phone
560,claim,2023-03-28,Phone
502,renewal_offer,2023-06-23,Online
102,endorsement,2023-07-23,Online
531,contact_attempt,2023-08-21,Online
675,claim,2021-03-28,Phone
374,claim,2022-06-04,In-Person
820,claim,2023-08-30,Phone
38,endorsement,2023-04-04,In-Person
326,claim,2021-03-21,In-Person
818,claim,2022-09-28,Online
454,claim,2022-01-31,In-Person
197,claim,2023-05-09,Phone
433,endorsement,2021-08-02,Phone
556,endorsement,2022-06-06,Online
770,endorsement,2023-04-11,In-Person
779,contact_attempt,2021-02-18,Phone
788,endorsement,2023-02-19,Phone
585,endorsement,2021-07-28,Online
795,renewal_offer,2022-11-23,Online
818,renewal_offer,2022-06-16,In-Person
364,contact_attempt,2021-08-03,In-Person
867,renewal_offer,2021-07-14,Online
196,endorsement,2023-01-29,Online
907,renewal_offer,2021-04-20,In-Person
376,contact_attempt,2021-05-26,In-Person
899,renewal_offer,2022-09-27,Online
19,renewal_offer,2022-01-26,Online
800,endorsement,2023-01-17,Phone
548,renewal_offer,2022-03-31,Online
477,claim,2022-09-07,Phone
561,endorsement,2022-09-20,Online
814,renewal_offer,2022-08-21,Online
359,endorsement,2021-04-12,Online
6,claim,2023-04-01,Online
70,renewal_offer,2023-09-15,Phone
316,endorsement,2021-01-05,In-Person
479,endorsement,2023-02-24,In-Person
242,endorsement,2021-12-06,In-Person
295,renewal_offer,2021-06-17,Phone
992,contact_attempt,2023-05-27,Online
329,endorsement,2021-02-28,In-Person
945,claim,2023-06-05,Online
711,claim,2021-10-10,Online
719,claim,2022-04-25,Phone
387,claim,2021-10-02,Phone
278,renewal_offer,2023-08-11,Phone
194,claim,2023-01-22,In-Person
148,endorsement,2023-02-07,Online
603,endorsement,2023-03-31,In-Person
152,endorsement,2022-01-24,Online
878,claim,2023-01-14,In-Person
888,endorsement,2022-06-03,Online
328,endorsement,2022-12-31,Online
538,renewal_offer,2021-08-04,Online
154,endorsement,2023-07-09,In-Person
905,renewal_offer,2021-05-29,In-Person
826,renewal_offer,2021-04-01,In-Person
205,endorsement,2021-02-06,In-Person
346,renewal_offer,2022-04-06,In-Person
224,contact_attempt,2022-07-13,Phone
263,contact_attempt,2023-06-02,In-Person
245,renewal_offer,2021-12-22,Phone
99,endorsement,2022-10-09,Online
936,renewal_offer,2021-01-24,Phone
204,endorsement,2021-07-02,In-Person
412,claim,2022-04-22,Online
173,renewal_offer,2023-06-13,In-Person
369,renewal_offer,2021-07-06,Online
56,contact_attempt,2021-06-13,Phone
628,endorsement,2023-09-03,In-Person
154,contact_attempt,2022-12-21,Online
804,claim,2021-10-29,In-Person
944,claim,2023-05-11,Online
243,renewal_offer,2022-02-05,Online
26,endorsement,2022-01-11,Phone
752,contact_attempt,2021-11-25,In-Person
939,contact_attempt,2021-04-23,Phone
440,endorsement,2023-03-07,Online
950,claim,2021-11-08,Online
188,claim,2021-11-27,Online
297,contact_attempt,2021-05-07,In-Person
50,renewal_offer,2023-05-25,Online
78,contact_attempt,2023-09-01,Phone
603,claim,2021-11-19,Phone
413,endorsement,2021-04-27,In-Person
451,renewal_offer,2023-08-14,Online
581,contact_attempt,2022-11-02,Online
333,contact_attempt,2023-05-28,Online
721,endorsement,2022-12-18,Phone
301,contact_attempt,2022-07-14,In-Person
592,endorsement,2021-06-10,Phone
738,contact_attempt,2022-12-16,Online
100,claim,2021-11-30,In-Person
768,contact_attempt,2022-03-16,Phone
591,renewal_offer,2022-01-05,Online
659,claim,2023-09-10,In-Person
278,claim,2021-11-13,Phone
162,claim,2021-02-07,Online
413,claim,2022-12-05,In-Person
10,renewal_offer,2022-12-28,Phone
274,contact_attempt,2023-03-26,Online
777,claim,2021-07-20,In-Person
623,endorsement,2022-10-10,Online
341,contact_attempt,2021-08-18,Online
538,contact_attempt,2022-07-06,In-Person
296,endorsement,2021-10-03,Online
856,renewal_offer,2022-03-17,In-Person
774,contact_attempt,2023-04-14,In-Person
635,renewal_offer,2021-06-16,In-Person
57,claim,2021-02-24,Phone
839,claim,2023-06-01,Online
802,contact_attempt,2022-08-19,Online
683,claim,2022-07-01,Online
739,renewal_offer,2021-02-08,In-Person
103,endorsement,2023-02-22,In-Person
285,endorsement,2021-07-19,In-Person
139,endorsement,2022-02-18,Phone
170,claim,2023-07-07,Phone
878,contact_attempt,2022-07-27,Online
997,renewal_offer,2023-06-25,Online
605,claim,2022-11-20,In-Person
775,claim,2023-02-25,Online
308,contact_attempt,2022-02-13,In-Person
14,claim,2023-01-10,Online
399,renewal_offer,2021-10-12,In-Person
70,contact_attempt,2021-06-29,Online
945,endorsement,2022-02-04,Phone
851,renewal_offer,2022-10-29,Online
547,renewal_offer,2023-03-17,Online
301,claim,2023-07-08,Phone
123,contact_attempt,2021-07-10,Phone
283,renewal_offer,2022-04-02,Online
562,claim,2021-01-20,Phone
132,contact_attempt,2021-04-29,Phone
418,contact_attempt,2021-05-18,Phone
95,renewal_offer,2021-01-21,In-Person
930,claim,2021-10-16,In-Person
987,renewal_offer,2022-08-31,Phone
435,renewal_offer,2021-11-09,In-Person
679,contact_attempt,2023-05-02,Phone
187,contact_attempt,2023-01-28,Online
334,claim,2022-02-12,Online
638,contact_attempt,2021-09-30,Online
536,renewal_offer,2021-04-07,Online
74,endorsement,2021-09-22,Online
484,claim,2021-06-30,Phone
829,claim,2021-06-11,Phone
302,renewal_offer,2023-04-07,Online
686,contact_attempt,2022-10-06,Phone
914,endorsement,2021-12-01,Online
715,claim,2023-06-17,In-Person
90,claim,2022-03-19,Phone
369,contact_attempt,2023-09-13,Online
583,contact_attempt,2022-08-28,Online
890,contact_attempt,2023-04-16,Phone
250,endorsement,2023-01-02,Online
367,contact_attempt,2022-01-18,Phone
641,renewal_offer,2021-09-29,In-Person
304,contact_attempt,2023-09-08,Phone
738,contact_attempt,2022-03-15,Phone
473,claim,2023-01-11,In-Person
998,renewal_offer,2021-06-12,In-Person
864,endorsement,2023-07-21,In-Person
880,endorsement,2021-03-04,Online
297,contact_attempt,2022-09-12,In-Person
102,endorsement,2021-07-11,Phone
561,claim,2021-06-21,Online
452,claim,2022-03-29,Online
753,renewal_offer,2021-04-16,In-Person
296,endorsement,2022-08-26,In-Person
69,renewal_offer,2021-02-23,In-Person
40,renewal_offer,2022-02-17,Online
775,endorsement,2021-01-17,In-Person
51,contact_attempt,2022-06-25,In-Person
101,renewal_offer,2021-06-05,In-Person
944,contact_attempt,2021-04-21,In-Person
858,claim,2022-05-10,In-Person
524,renewal_offer,2023-02-21,Online
136,endorsement,2023-04-03,Online
30,contact_attempt,2022-11-09,Phone
952,claim,2022-05-03,Phone
943,claim,2023-07-25,Phone
14,contact_attempt,2021-01-14,Online
196,claim,2021-05-22,In-Person
104,endorsement,2022-03-13,In-Person
20,renewal_offer,2021-11-24,In-Person
658,endorsement,2021-09-17,Phone
937,renewal_offer,2021-06-09,Online
138,claim,2022-08-25,Phone
713,contact_attempt,2021-03-18,Phone
721,endorsement,2021-03-09,Phone
845,claim,2023-03-22,In-Person
985,renewal_offer,2021-01-06,In-Person
74,renewal_offer,2023-08-04,In-Person
873,renewal_offer,2023-09-23,Phone
902,endorsement,2023-08-27,Phone
254,contact_attempt,2023-06-04,Online
890,contact_attempt,2021-06-20,In-Person
320,contact_attempt,2021-08-17,Phone
500,endorsement,2021-03-16,Online
549,contact_attempt,2021-10-25,Phone
47,claim,2021-11-01,Phone
473,endorsement,2021-10-04,Phone
632,claim,2021-10-21,Online
660,renewal_offer,2021-07-04,Online
320,renewal_offer,2022-02-26,Online
84,renewal_offer,2022-10-08,In-Person
248,contact_attempt,2021-08-11,Online
442,endorsement,2022-04-30,In-Person
520,claim,2022-06-17,Phone
484,renewal_offer,2022-11-05,In-Person
296,endorsement,2023-03-04,Online
452,claim,2021-09-12,In-Person
593,endorsement,2023-07-10,Online
742,contact_attempt,2021-11-16,Phone
395,contact_attempt,2022-03-14,Online
209,endorsement,2021-08-23,Online
475,endorsement,2021-09-28,In-Person
807,renewal_offer,2023-08-25,Online
844,contact_attempt,2023-07-04,Online
83,renewal_offer,2023-03-18,In-Person
740,endorsement,2023-02-08,In-Person
217,claim,2022-02-01,Online
178,claim,2021-11-02,Online
371,endorsement,2022-05-14,In-Person
597,endorsement,2023-02-28,Phone
464,renewal_offer,2021-05-20,In-Person
266,renewal_offer,2023-01-03,In-Person
647,contact_attempt,2022-01-16,Online
899,endorsement,2022-06-29,In-Person
984,renewal_offer,2021-09-15,In-Person
574,renewal_offer,2023-01-25,Phone
436,contact_attempt,2023-03-03,Online
840,endorsement,2023-06-22,Online
452,contact_attempt,2021-01-04,Phone
372,claim,2022-05-26,In-Person
212,claim,2022-09-05,Phone
366,contact_attempt,2023-06-14,In-Person
552,claim,2021-02-21,In-Person
911,claim,2022-11-04,Phone
134,claim,2022-04-28,Online
532,claim,2022-01-14,Online
367,contact_attempt,2023-01-12,In-Person
376,endorsement,2022-11-19,Online
745,contact_attempt,2023-08-05,Phone
195,contact_attempt,2021-12-23,Phone
754,endorsement,2021-12-27,Phone
683,claim,2023-08-22,Phone
974,renewal_offer,2022-11-10,Phone
409,claim,2023-03-05,Online
545,renewal_offer,2021-01-09,In-Person
615,contact_attempt,2022-04-10,Phone
326,contact_attempt,2022-06-23,In-Person
812,contact_attempt,2021-12-13,In-Person
952,endorsement,2023-01-30,Phone
28,endorsement,2022-06-07,In-Person
619,endorsement,2021-05-27,Online
1,renewal_offer,2022-10-25,In-Person
274,endorsement,2022-02-19,In-Person
123,endorsement,2023-07-19,Phone
873,endorsement,2022-03-04,Online
359,claim,2021-05-24,Phone
592,renewal_offer,2022-02-09,Phone
411,contact_attempt,2023-03-16,Online
591,contact_attempt,2022-09-10,Phone
409,endorsement,2021-04-22,In-Person
707,endorsement,2023-05-21,Online
90,contact_attempt,2023-09-09,Online
777,renewal_offer,2023-05-16,Phone
951,renewal_offer,2022-09-14,Online
191,claim,2022-08-30,Phone
461,contact_attempt,2021-12-31,In-Person
604,endorsement,2021-12-05,Phone
529,endorsement,2023-01-16,Phone
883,endorsement,2023-01-19,Online
532,contact_attempt,2022-08-04,Online
55,renewal_offer,2023-01-27,Phone
185,renewal_offer,2022-10-01,In-Person
891,contact_attempt,2021-12-24,Phone
633,renewal_offer,2022-01-06,In-Person
881,endorsement,2022-02-23,Phone
380,endorsement,2022-10-03,Online
233,claim,2022-01-17,In-Person
191,contact_attempt,2022-02-21,Phone
138,endorsement,2023-05-03,In-Person
141,renewal_offer,2021-09-21,In-Person
950,contact_attempt,2023-02-17,Phone
975,claim,2022-04-15,In-Person
960,claim,2022-04-12,Phone
850,contact_attempt,2022-07-04,Phone
241,renewal_offer,2022-03-06,In-Person
773,contact_attempt,2022-03-12,Phone
408,contact_attempt,2022-10-27,Online
360,renewal_offer,2022-10-31,In-Person
59,contact_attempt,2021-09-11,Online
418,contact_attempt,2022-10-18,Online
774,endorsement,2021-12-21,Online
92,claim,2022-09-18,Online
526,claim,2023-01-05,Online
317,renewal_offer,2021-01-23,Online
982,claim,2021-10-06,Phone
685,renewal_offer,2022-09-16,Phone
548,renewal_offer,2022-09-21,In-Person
79,renewal_offer,2021-06-26,Online
19,contact_attempt,2023-05-31,Phone
942,claim,2021-12-07,Online
57,endorsement,2021-05-23,In-Person
888,endorsement,2023-07-05,Phone
56,endorsement,2021-07-22,Phone
336,endorsement,2021-08-26,Phone
446,endorsement,2021-05-16,Online
747,renewal_offer,2021-03-20,Online
944,endorsement,2023-05-06,Phone
63,renewal_offer,2021-01-10,Online
529,contact_attempt,2022-03-24,In-Person
363,endorsement,2021-08-14,Phone
805,claim,2021-10-19,Phone
221,claim,2023-05-14,Online
695,claim,2022-02-08,Online
321,endorsement,2022-10-17,In-Person
875,endorsement,2022-03-28,Phone
607,claim,2021-06-07,In-Person
41,claim,2022-12-22,In-Person
617,endorsement,2022-05-04,Phone
430,claim,2022-04-23,In-Person
